interaction_id,user_id,course_id,timestamp,rating,clicked,video_views,completion_rate,quiz_score,engagement_time,access_frequency,session_duration,device_type,interaction_type,source_dataset,is_derived,reward
i_998,u_9d39b6920eafcf0d1fc5,C_course-v1:TsinghuaX+00612642X+sp,2015-09-10 22:51:56+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_997,u_9d39b6920eafcf0d1fc5,C_course-v1:MITx+6_00_1x+sp,2018-04-09 15:03:16+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_599,u_50f75329f226d7e9138c,C_course-v1:TsinghuaX+00690242+sp,2015-10-18 19:46:30+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_600,u_50f75329f226d7e9138c,C_course-v1:TsinghuaX+00691153X+sp,2015-10-18 19:47:16+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_539,u_4758f54a7ca9c93b3043,C_course-v1:TsinghuaX+00720091X+sp,2016-01-23 10:38:23+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_537,u_4758f54a7ca9c93b3043,C_course-v1:TsinghuaX+30670043X+sp,2016-02-16 12:01:53+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_540,u_4758f54a7ca9c93b3043,C_course-v1:TsinghuaX+30150153X+sp,2016-02-16 12:05:09+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_664,u_f9d5dcf4c98cf7478f39,C_course-v1:TsinghuaX+80515522X+sp,2016-02-20 10:37:19+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_663,u_f9d5dcf4c98cf7478f39,C_course-v1:SEU+00690803+Sp,2017-06-11 14:05:02+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_761,u_cded15a621cc1425262f,C_course-v1:TsinghuaX+00691153X+sp,2016-02-23 14:51:38+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_762,u_cded15a621cc1425262f,C_course-v1:TsinghuaX+10421102x_2015_T2+sp,2016-03-01 20:17:43+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_207,u_da254abf04dea5709eaf,C_course-v1:TsinghuaX+10430494X_2015_2+sp,2016-04-14 12:36:11+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_216,u_da254abf04dea5709eaf,C_course-v1:UQx+Think101x+sp,2017-05-05 14:30:45+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_209,u_da254abf04dea5709eaf,C_course-v1:HUBU+HU08002X+sp,2017-07-14 19:53:06+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_215,u_da254abf04dea5709eaf,C_course-v1:HUBU+HU08003X+sp,2017-07-28 09:42:23+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_206,u_da254abf04dea5709eaf,C_course-v1:TsinghuaX+30640014X+sp,2017-08-23 20:10:35+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_212,u_da254abf04dea5709eaf,C_course-v1:HIT+HIT2016001+sp,2017-12-29 10:44:03+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_208,u_da254abf04dea5709eaf,C_course-v1:SPI+20170828001x+sp,2018-03-09 22:00:54+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_217,u_da254abf04dea5709eaf,C_course-v1:YMY+20171108001+sp,2018-09-26 10:26:17+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_213,u_da254abf04dea5709eaf,C_course-v1:TsinghuaX+20140064X+2018_sp,2018-11-20 19:57:56+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_219,u_da254abf04dea5709eaf,C_course-v1:HIT+HIT2016002+sp,2019-01-08 08:18:07+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_309,u_c0bcaa889cbefebc4e49,C_course-v1:BIT+PHY1701702+sp,2016-06-14 17:39:44+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_308,u_c0bcaa889cbefebc4e49,C_course-v1:TsinghuaX+10430494X_2015_2+sp,2016-06-14 17:41:29+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_428,u_c030626ed9052a252f64,C_course-v1:UQx+Think101x+sp,2016-06-22 15:04:52+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_430,u_c030626ed9052a252f64,C_course-v1:MITx+6_00_1x+sp,2017-02-27 15:10:38+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_429,u_c030626ed9052a252f64,C_course-v1:TsinghuaX+70612463X+sp,2017-07-12 17:52:12+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_427,u_c030626ed9052a252f64,C_course-v1:TsinghuaX+00690342X+sp,2019-03-03 23:41:06+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_567,u_325ee74eafdc4b41e84d,C_course-v1:TsinghuaX+20220053X_2015_T2+sp,2016-06-23 09:54:22+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_569,u_325ee74eafdc4b41e84d,C_course-v1:TsinghuaX+10430484X_2015_2+sp,2016-11-05 22:31:58+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_568,u_325ee74eafdc4b41e84d,C_course-v1:BIT+PHY1701702+sp,2016-11-05 23:40:54+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
i_900,u_4f8a8005417f03bbdaf3,C_course-v1:TsinghuaX+20250103X+sp,2016-07-06 09:39:26+00:00,,1,0,0.5,0.5,0.5,1,0,unknown,enrollment,MOOCCube,True,0.5
